Country,Continent,Rank,Ladder_score,Logged_gdp_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Regime,Government
Finland,Europe,1,7.804,10.792,0.969,71.15,0.961,-0.019,0.182,No Authoritarian,Female
Denmark,Europe,2,7.586,10.962,0.954,71.25,0.934,0.134,0.196,No Authoritarian,Male
Iceland,Europe,3,7.53,10.896,0.983,72.05,0.936,0.211,0.668,No Authoritarian,Male
Israel,Asia,4,7.473,10.639,0.943,72.697,0.809,-0.023,0.708,No Authoritarian,Male
Netherlands,Europe,5,7.403,10.942,0.93,71.55,0.887,0.213,0.379,No Authoritarian,Female
Sweden,Europe,6,7.395,10.883,0.939,72.15,0.948,0.165,0.202,No Authoritarian,Male
Norway,Europe,7,7.315,11.088,0.943,71.5,0.947,0.141,0.283,No Authoritarian,Female
Switzerland,Europe,8,7.24,11.164,0.92,72.9,0.891,0.027,0.266,No Authoritarian,Male
Luxembourg,Europe,9,7.228,11.66,0.879,71.675,0.915,0.024,0.345,No Authoritarian,Male
New Zealand,Oceania,10,7.123,10.662,0.952,70.35,0.887,0.175,0.271,No Authoritarian,Male
Austria,Europe,11,7.097,10.899,0.888,71.15,0.855,0.102,0.497,No Authoritarian,Male
Australia,Oceania,12,7.095,10.821,0.934,71.05,0.89,0.198,0.496,No Authoritarian,Male
Canada,North America,13,6.961,10.773,0.929,71.4,0.874,0.153,0.42,No Authoritarian,Male
Ireland,Europe,14,6.911,11.527,0.905,71.3,0.874,0.092,0.358,No Authoritarian,Male
United States,North America,15,6.894,11.048,0.919,65.85,0.8,0.137,0.689,No Authoritarian,Male
Germany,Europe,16,6.892,10.879,0.896,71.3,0.846,0.03,0.42,No Authoritarian,Female
Belgium,Europe,17,6.859,10.844,0.915,70.899,0.825,0.001,0.549,No Authoritarian,Female
Czechia,Europe,18,6.845,10.611,0.953,69.05,0.903,0.04,0.859,No Authoritarian,Male
United Kingdom,Europe,19,6.796,10.704,0.882,70.3,0.852,0.253,0.454,No Authoritarian,Male
Lithuania,Europe,20,6.763,10.568,0.939,67.397,0.748,-0.145,0.805,No Authoritarian,Male
France,Europe,21,6.661,10.701,0.909,72.3,0.819,-0.1,0.553,No Authoritarian,Male
Slovenia,Europe,22,6.65,10.588,0.951,71.052,0.913,0.014,0.771,No Authoritarian,Male
Costa Rica,North America,23,6.609,9.952,0.872,70.0,0.895,-0.07,0.768,No Authoritarian,Male
Romania,Europe,24,6.589,10.339,0.848,67.051,0.856,-0.172,0.929,No Authoritarian,Male
Singapore,Asia,25,6.587,11.571,0.878,73.8,0.878,0.063,0.146,No Authoritarian,Male
United Arab Emirates,Asia,26,6.571,11.145,0.826,66.243,0.942,0.096,0.584,No Authoritarian,Male
Taiwan,Unknown,27,6.535,10.797,0.884,69.6,0.804,-0.129,0.681,No Authoritarian,Male
Uruguay,South America,28,6.494,10.037,0.913,67.5,0.895,-0.065,0.575,No Authoritarian,Male
Slovakia,Europe,29,6.469,10.353,0.953,68.838,0.753,-0.016,0.898,No Authoritarian,Male
